secID,tradeDate,ticker,ChgPct,Close,DownPct,LimitDownPct,LimitUpPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
399006.ZICN,20140224,399006,1.34,1540.026,22,0,3,1532.9196,1529.1246,1505.1856,1371.3075,1326.4053,-10.1873,41.0873,46.1809,6.8213,7.2063,69.3453,96.7527,61.1674,14425583013,559946792,65,2016/11/16 17:46
399006.ZICN,20140225,399006,-4.372,1472.691,82,14,1,1518.3896,1523.6786,1508.4625,1374.2891,1328.7016,-19.0592,34.2689,43.7985,6.5267,6.8902,66.351,91.3335,47.488,22434815758,877397135,6,2016/11/16 17:46
399006.ZICN,20140226,399006,-0.455,1465.985,48,0,4,1502.7062,1516.2805,1510.1748,1377.1912,1330.7529,-25.2754,28.0014,40.6391,6.5026,6.8593,66.0333,90.706,46.3615,15556867452,620306044,39,2016/11/16 17:46
399006.ZICN,20140227,399006,-3.501,1414.657,79,2,3,1482.6048,1509.2331,1507.8314,1378.6109,1332.2236,-35.1388,18.6774,36.2468,6.2872,6.638,63.8457,87.6005,38.6969,17174500346,658585761,11,2016/11/16 17:46
399006.ZICN,20140228,399006,1.431,1434.894,20,0,2,1465.6506,1501.1441,1505.3545,1380.2481,1333.7581,-37.5569,12.7737,31.5521,6.368,6.7117,64.4375,86.0472,42.7666,12343402635,503420747,67,2016/11/16 17:46
399006.ZICN,20140303,399006,2.108,1465.139,10,0,5,1450.6732,1491.7964,1504.728,1381.8865,1335.7343,-33.8188,10.4154,27.3248,6.4945,6.8711,65.7175,87.876,48.3564,11592826852,483603436,78,2016/11/16 17:46
399006.ZICN,20140304,399006,-0.32,1460.452,57,0,3,1448.2254,1483.3075,1504.1836,1385.3286,1337.6856,-30.7994,8.0752,23.4749,6.4749,6.8769,65.5196,87.8973,47.5709,12200815087,480263735,33,2016/11/16 17:46
399006.ZICN,20140305,399006,0.283,1464.578,57,0,4,1447.944,1475.3251,1502.5861,1388.8161,1340.0143,-27.1937,6.4788,20.0757,6.4791,6.8856,65.4819,86.8376,48.3762,11725782947,469854010,33,2016/11/16 17:46
399006.ZICN,20140306,399006,-0.14,1462.528,44,0,1,1457.5182,1470.0615,1500.9136,1392.5201,1342.1171,-24.1359,4.9907,17.0587,6.4675,6.9119,65.3647,86.7564,47.9768,13050445820,502424438,44,2016/11/16 17:46
399006.ZICN,20140307,399006,-0.131,1460.611,56,0,1,1462.6616,1464.1561,1497.3098,1396.8292,1344.0006,-21.5099,3.615,14.3699,6.4594,6.8841,65.2505,86.4172,47.5761,12654964831,503043432,33,2016/11/16 17:46
399006.ZICN,20140310,399006,-3.665,1407.073,85,3,0,1451.0484,1450.8608,1489.9927,1400.1674,1345.4233,-25.8316,-1.7749,11.141,6.2387,6.6263,63.021,83.3152,37.9256,11430475293,504093665,6,2016/11/16 17:46
399006.ZICN,20140311,399006,-0.8,1395.813,59,2,0,1438.1206,1443.173,1483.4258,1402.7357,1346.4946,-28.8266,-6.8757,7.5376,6.1851,6.5785,62.6338,82.5387,36.239,9310371400,414892132,30,2016/11/16 17:46
399006.ZICN,20140312,399006,0.247,1399.266,39,1,0,1425.0582,1436.5011,1476.3908,1405.5247,1347.4656,-28.8894,-10.5182,3.9265,6.2063,6.5816,62.8284,82.6591,37.1737,10537115424,451511111,49,2016/11/16 17:46
399006.ZICN,20140313,399006,2.686,1436.856,7,0,4,1419.9238,1438.721,1473.9771,1408.7306,1348.8068,-22.6881,-10.2536,1.0905,6.3617,6.7353,64.1156,84.4755,46.4893,8522477135,343871894,79,2016/11/16 17:46
399006.ZICN,20140314,399006,-0.197,1434.021,45,0,0,1414.6058,1438.6337,1469.8889,1411.309,1350.2271,-17.9936,-10.1556,-1.1588,6.3464,6.737,63.971,84.5031,45.9289,7907242515,326149650,40,2016/11/16 17:46
399006.ZICN,20140317,399006,3.026,1477.415,2,0,4,1428.6742,1439.8613,1465.8288,1414.6302,1352.3663,-8.5482,-6.5014,-2.2273,6.5271,6.9311,65.598,86.5456,54.9877,9722157430,380346011,83,2016/11/16 17:46
399006.ZICN,20140318,399006,0.557,1485.64,36,0,1,1446.6396,1442.3801,1462.8438,1418.0582,1354.5747,-1.0895,-2.9082,-2.3635,6.5414,6.9595,65.7003,86.6484,56.4948,12296133302,484827372,49,2016/11/16 17:46
399006.ZICN,20140319,399006,-1.307,1466.217,60,0,0,1460.0298,1442.544,1458.9346,1421.3673,1356.3478,1.2066,-1.6093,-2.2126,6.4564,6.8853,64.766,85.4164,52.0088,10458789320,418830120,26,2016/11/16 17:46
399006.ZICN,20140320,399006,-3.312,1417.658,78,3,1,1456.1902,1438.057,1454.0593,1424.0616,1357.505,-3.575,-4.447,-2.6595,6.2285,6.6702,62.1181,82.2695,42.7506,11688145407,467830623,6,2016/11/16 17:46
399006.ZICN,20140321,399006,0.154,1419.84,36,0,2,1453.354,1433.9799,1449.068,1426.7908,1358.759,-6.0576,-6.4455,-3.4167,6.2356,6.6788,62.1895,81.9973,43.2458,10617668268,446109724,50,2016/11/16 17:46
399006.ZICN,20140324,399006,-1.588,1397.294,63,0,0,1437.3298,1433.002,1441.9314,1429.1838,1359.6561,-10.1115,-9.7364,-4.6807,6.1343,6.5771,61.2167,73.2101,39.4035,9375322264,392564871,19,2016/11/16 17:46
399006.ZICN,20140325,399006,-0.177,1394.824,38,1,0,1419.1666,1432.9031,1438.038,1431.7175,1360.2288,-12.3522,-12.4008,-6.2247,6.1118,6.5597,61.0217,73.1323,38.9895,7662902278,309948866,47,2016/11/16 17:46
399006.ZICN,20140326,399006,1.634,1417.614,16,0,1,1409.446,1434.7379,1435.6195,1434.364,1360.9723,-10.0868,-12.5289,-7.4855,6.1994,6.6562,62.2339,74.1828,44.8247,9446895830,387438441,70,2016/11/16 17:46
399006.ZICN,20140327,399006,-3.502,1367.964,77,5,0,1399.5072,1427.8487,1433.2849,1435.691,1361.3466,-14.3388,-16.4472,-9.2779,5.9752,6.4253,59.6076,71.3526,36.5228,9696362659,408553926,7,2016/11/16 17:46
399006.ZICN,20140328,399006,-2.739,1330.5,75,4,0,1381.6392,1417.4966,1428.0651,1436.7071,1361.5479,-20.8647,-22.3183,-11.886,5.7674,6.2199,56.9503,68.9578,31.6913,10285817077,457960701,9,2016/11/16 17:46
399006.ZICN,20140331,399006,-0.203,1327.8,49,2,0,1367.7404,1402.5351,1421.1982,1437.2654,1361.5816,-23.9892,-26.8792,-14.8846,5.7472,6.2076,56.7461,68.7716,31.3651,6558679188,282727393,33,2016/11/16 17:46
399006.ZICN,20140401,399006,2.052,1355.051,7,0,1,1359.7858,1389.4762,1415.9282,1438.0498,1361.4744,-20.9404,-27.9723,-17.5021,6.1157,6.7474,58.1868,70.2517,38.3521,7571684265,311418757,74,2016/11/16 17:46
399006.ZICN,20140402,399006,-1.998,1327.983,69,1,0,1341.8596,1375.6528,1409.0984,1438.4421,1360.9771,-21.0674,-30.6693,-20.1356,5.9899,6.5648,56.6897,68.6024,34.5418,8229360472,324594960,11,2016/11/16 17:46
399006.ZICN,20140403,399006,-0.136,1326.176,36,0,1,1333.502,1366.5046,1402.2808,1438.3283,1360.2299,-19.9062,-32.5769,-22.6238,5.9831,6.5611,55.1249,68.7656,34.2937,7259364279,301984297,47,2016/11/16 17:46
399006.ZICN,20140404,399006,1.55,1346.738,8,0,2,1336.7496,1359.1944,1396.5871,1438.2266,1359.9682,-15.0978,-32.06,-24.5111,6.0781,6.6572,56.0003,69.7421,39.6731,6783324043,277035630,74,2016/11/16 17:46
399006.ZICN,20140408,399006,0.33,1351.183,33,0,1,1341.4262,1354.5833,1393.7927,1438.6909,1359.7289,-10.2784,-30.935,-25.7959,6.0961,6.6646,56.333,70.132,40.8157,8426291689,379437084,51,2016/11/16 17:46
399006.ZICN,20140409,399006,1.427,1370.462,12,1,0,1344.5084,1352.1471,1392.5251,1438.994,1359.536,-3.7878,-28.1632,-26.2693,6.1604,6.7489,56.6724,70.9063,45.6837,9680880847,408873178,75,2016/11/16 17:46
