指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%)
801010,农林牧渔,2013/12/31 0:00,1888.01,1894.53,1862.17,1893.3,4.37,43.6,-0.03
801010,农林牧渔,2013/12/30 0:00,1886.64,1898.98,1883.47,1893.96,4.27,41.89,0.79
801010,农林牧渔,2013/12/27 0:00,1847.93,1883.23,1846.47,1879.05,3.97,41.73,1.42
801010,农林牧渔,2013/12/26 0:00,1904.08,1908.93,1852.27,1852.75,4.97,51.45,-2.53
801010,农林牧渔,2013/12/25 0:00,1890.77,1900.97,1878.19,1900.94,4.64,49.5,0.64
801010,农林牧渔,2013/12/24 0:00,1872.47,1892.75,1866.51,1888.88,4.78,49.15,0.92
801010,农林牧渔,2013/12/23 0:00,1883.28,1885.36,1838.5,1871.59,4.69,48.61,-0.41
801010,农林牧渔,2013/12/20 0:00,1876.91,1888.8,1859.13,1879.34,4.65,46.14,0.15
801010,农林牧渔,2013/12/19 0:00,1906.93,1914.88,1874.97,1876.61,4.37,44.24,-1.46
801010,农林牧渔,2013/12/18 0:00,1905.73,1921.87,1898.25,1904.47,3.82,40.31,0.03
801010,农林牧渔,2013/12/17 0:00,1931.03,1937.61,1899.93,1903.96,4.98,51.04,-1.58
801010,农林牧渔,2013/12/16 0:00,1974.12,1987.77,1934.41,1934.6,7.06,74.38,-1.44
801010,农林牧渔,2013/12/13 0:00,1957.24,1972.7,1949.84,1962.81,5.38,55.29,-0.43
801010,农林牧渔,2013/12/12 0:00,1977.22,1988.81,1962.14,1971.25,6.03,62.13,-0.47
801010,农林牧渔,2013/12/11 0:00,1971.27,1984.7,1945.27,1980.63,7.59,76.97,0.14
801010,农林牧渔,2013/12/10 0:00,1996.2,1997.5,1970.45,1977.77,5.87,61.47,-0.88
801010,农林牧渔,2013/12/9 0:00,1955.74,1998.48,1954.85,1995.37,8.39,84.4,2.24
801010,农林牧渔,2013/12/6 0:00,1946.13,1959.46,1943.09,1951.58,5.48,55.49,-0.02
801010,农林牧渔,2013/12/5 0:00,1946.38,1963.5,1932,1951.88,7.69,78.2,0.52
801010,农林牧渔,2013/12/4 0:00,1895.96,1956.5,1895.79,1941.73,8.97,90.89,2.63
