指数代码,指数名称,发布日期,收盘指数,成交量(亿股),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801010,农林牧渔,2017/4/25 0:00,3010.51,6.37,0.17,1.0564,26.9,3.57,15.07,1.6,"6,760.30",76.82,0.8
801010,农林牧渔,2017/4/24 0:00,3005.3,6.93,-2.03,1.1503,27.13,3.58,15.04,1.63,"6,746.12",76.66,0.8
801010,农林牧渔,2017/4/21 0:00,3067.55,6.03,-0.32,0.9939,27.61,3.65,15.46,1.58,"6,993.99",79.48,0.78
801010,农林牧渔,2017/4/20 0:00,3077.32,7.69,-0.13,1.2676,27.75,3.66,15.53,1.64,"7,013.91",79.7,0.78
801010,农林牧渔,2017/4/19 0:00,3081.43,8.79,-1.58,1.4489,27.82,3.67,15.64,1.9,"7,027.59",79.86,0.78
801010,农林牧渔,2017/4/18 0:00,3130.74,7.69,-1.18,1.2684,28.27,3.73,15.84,1.76,"7,143.48",81.18,0.77
801010,农林牧渔,2017/4/17 0:00,3168.07,8.22,-1.23,1.3553,28.59,3.78,16.12,1.79,"7,222.54",82.07,0.76
801010,农林牧渔,2017/4/14 0:00,3207.59,10.39,-0.98,1.7189,28.95,3.86,16.51,2.03,"7,298.27",82.93,0.75
801010,农林牧渔,2017/4/13 0:00,3239.33,10.73,0.21,1.7748,29.23,3.9,16.69,2.17,"7,379.58",83.86,0.75
801010,农林牧渔,2017/4/12 0:00,3232.55,10.37,-0.64,1.7195,29.42,3.89,16.62,1.6,"7,315.01",83.13,0.75
801010,农林牧渔,2017/4/11 0:00,3253.44,12.25,0.3,2.0306,29.6,3.92,16.76,1.79,"7,349.82",83.52,0.75
801010,农林牧渔,2017/4/10 0:00,3243.72,11.79,-0.93,1.9548,29.58,3.91,16.68,1.95,"7,334.19",83.34,0.75
801010,农林牧渔,2017/4/7 0:00,3274.23,9.89,-0.42,1.6406,29.72,3.92,17.08,1.9,"7,399.42",84.08,0.75
801010,农林牧渔,2017/4/6 0:00,3288.14,11.42,0.5,1.8946,29.3,4,17.22,2.05,"7,424.95",84.37,0.74
801010,农林牧渔,2017/3/31 0:00,3222.3,7.55,0.01,1.252,28.71,3.98,16.92,2,"7,279.47",82.72,0.76
801010,农林牧渔,2017/3/30 0:00,3222.11,10.63,-1.3,1.7627,28.74,3.98,17.03,2.2,"7,281.89",82.75,0.75
801010,农林牧渔,2017/3/29 0:00,3264.57,8.85,-0.79,1.4673,29.16,4.03,17.43,2.11,"7,377.12",83.83,0.74
801010,农林牧渔,2017/3/28 0:00,3290.71,7.88,-0.2,1.307,29.39,4.07,17.72,2.27,"7,449.13",84.65,0.74
801010,农林牧渔,2017/3/27 0:00,3297.42,8.43,-0.55,1.3966,29.52,4.07,17.9,2.19,"7,465.46",84.83,0.74
801010,农林牧渔,2017/3/24 0:00,3315.59,8.53,0.45,1.4143,29.69,4.09,18.08,2.03,"7,510.61",85.35,0.73
801010,农林牧渔,2017/3/23 0:00,3300.75,8.6,0.32,1.4251,29.56,4.07,18.12,2.26,"7,484.36",85.05,0.74
801010,农林牧渔,2017/3/22 0:00,3290.11,7.12,-0.43,1.1805,29.45,4.06,17.94,1.79,"7,458.86",84.76,0.74
