secID,tradeDate,ticker,ChgPct,Close,DownPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
000300.ZICN,20070108,300,2.83,2131.55,7.6667,2058.498,1995.731,1915.95,1664.7935,1497.7629,22.011,106.05,95.0445,3.6565,3.7115,30.9211,48.3896,87.0205,66303936118,8476790900,89.6667,2016/11/16 17:27
000300.ZICN,20070109,300,3.215,2200.08,10.6667,2102.528,2024.841,1937.1685,1677.6865,1504.8796,31.4189,114.6813,98.9718,3.8017,3.798,32.1488,49.5261,89.4186,65456192715,8157762900,81.6667,2016/11/16 17:27
000300.ZICN,20070110,300,2.54,2255.96,11,2145.512,2060.873,1964.3875,1691.4378,1512.3699,40.9963,124.5945,104.0964,3.8214,3.9121,32.312,50.5988,90.9121,68822624817,8490497900,85.3333,2016/11/16 17:27
000300.ZICN,20070111,300,-1.079,2231.62,58.3333,2178.418,2090.125,1986.4725,1704.9897,1519.5313,39.8453,128.9997,109.077,3.7332,3.889,31.5661,50.7283,85.1979,68730011815,8627654800,38.3333,2016/11/16 17:27
000300.ZICN,20070112,300,-2.594,2173.74,79.6667,2198.59,2113.676,2005.0205,1717.6447,1526.2007,27.6588,126.3638,112.5344,3.6032,3.7768,30.4668,48.8305,73.2535,61742830353,7652572000,16.3333,2016/11/16 17:27
000300.ZICN,20070115,300,5.226,2287.34,0,2229.748,2144.123,2029.195,1731.8072,1534.1232,31.0181,131.9207,116.4116,3.7784,3.9414,31.9473,51.4222,79.4285,57043453710,6640309700,96,2016/11/16 17:27
000300.ZICN,20070116,300,2.909,2353.87,15.6667,2260.506,2181.517,2055.0815,1747.0488,1542.5289,37.8665,140.0782,121.145,3.8118,4.0905,32.2293,53.2892,82.0728,67843434156,7636425400,79,2016/11/16 17:27
000300.ZICN,20070117,300,-1.909,2308.93,62,2271.1,2208.306,2077.1465,1761.528,1550.4697,32.2292,141.2882,125.1736,3.7473,4.0206,31.6842,52.3148,74.9714,80008901771,8901554000,33.6667,2016/11/16 17:27
000300.ZICN,20070118,300,0.353,2317.09,26,2288.194,2233.306,2097.196,1776.6677,1558.4612,25.7654,141.277,128.3943,3.7034,4.0884,31.3128,53.6773,75.3932,69894972894,7864860600,70,2016/11/16 17:27
000300.ZICN,20070119,300,3.409,2396.09,5,2332.664,2265.627,2120.9285,1792.6017,1566.9772,28.1055,145.9602,131.9075,3.8014,4.2326,32.1413,55.7181,79.1107,73538873546,8333402200,90.3333,2016/11/16 17:27
