indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/2/24,2264.29,2246.72,2194.16,2246.72,2214.51,8921593900,79599146389,-49.78,-0.02198
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/2/25,2214.51,2216.51,2150.1,2225.21,2157.91,9323755100,88306571728,-56.6,-0.02556
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/2/26,2157.91,2147.74,2137.08,2164.7,2163.41,7799329700,68640581126,5.5,0.00255
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/2/27,2163.41,2170.81,2150.14,2180.06,2154.11,9010429600,81587999653,-9.3,-0.0043
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/2/28,2154.11,2149.45,2133.55,2180.47,2178.97,7666805700,70216798972,24.86,0.01154
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/3,2178.97,2173.91,2167.91,2194.22,2190.37,8207231400,69408739897,11.4,0.00523
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/4,2190.37,2183.86,2161.59,2188.6,2184.27,7306925000,64691438035,-6.1,-0.00278
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/5,2184.27,2187.35,2159.6,2189.09,2163.98,6133201500,55669679402,-20.29,-0.00929
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/6,2163.98,2159.4,2136.45,2181.43,2173.63,6909376700,61495023657,9.65,0.00446
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/7,2173.63,2170.04,2161.44,2189.39,2168.36,6426517700,58693177974,-5.27,-0.00242
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/10,2168.36,2149.68,2095.07,2149.68,2097.79,7141640700,63086412572,-70.57,-0.03255
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/11,2097.79,2092.61,2088.73,2118.79,2108.66,5762124300,53075782462,10.87,0.00518
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/12,2108.66,2102.8,2090.76,2130.59,2114.13,7006974700,60115239174,5.47,0.00259
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/13,2114.13,2119.55,2115.99,2149.44,2140.33,6922602800,59163094375,26.2,0.01239
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/14,2140.33,2129.87,2109.58,2140.38,2122.84,5861773700,49805247510,-17.49,-0.00817
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/17,2122.84,2132.79,2118.95,2143.2,2143.04,5240944500,47571288733,20.2,0.00952
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/18,2143.04,2146.12,2134.92,2152.46,2138.13,5535413200,54188441365,-4.91,-0.00229
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/19,2138.13,2131.28,2101.28,2131.28,2120.87,5930390500,55283943974,-17.26,-0.00807
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/20,2120.87,2116.19,2086.5,2134.79,2086.97,6763128500,58951601970,-33.9,-0.01598
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/21,2086.97,2079.87,2077.76,2163.23,2158.8,10402480700,83560511769,71.83,0.03442
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/24,2158.8,2161.9,2150.87,2186.73,2176.55,10449198400,81203913733,17.75,0.00822
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/25,2176.55,2170.78,2164.67,2191.49,2174.44,8687751000,67548473561,-2.11,-0.00097
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/26,2174.44,2181.23,2165.22,2186.08,2171.05,5827617600,50116023097,-3.39,-0.00156
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/27,2171.05,2168.34,2146.92,2186.89,2155.71,7127513200,62175860350,-15.34,-0.00707
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/28,2155.71,2154.51,2144.58,2172.67,2151.97,7008607300,60123341093,-3.74,-0.00173
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/3/31,2151.97,2156.05,2134.42,2165.25,2146.31,5545748800,48105020054,-5.66,-0.00263
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/1,2146.31,2143.72,2141.15,2170.1,2163.12,4886640300,43659064291,16.81,0.00783
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/2,2163.12,2166.07,2164.01,2182.68,2180.73,6503925700,56777151867,17.61,0.00814
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/3,2180.73,2188.64,2160.75,2196.14,2165.01,7153603200,57708859685,-15.72,-0.00721
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/4,2165.01,2157.98,2155.28,2186.15,2185.47,4794588800,43912624261,20.46,0.00945
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/8,2185.47,2179.92,2178.91,2243.97,2237.32,9721911700,85692893370,51.85,0.02372
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/9,2237.32,2239.79,2228.99,2246.79,2238.62,6635726800,61178630422,1.3,0.00058
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/10,2238.62,2241.45,2229.51,2290.74,2273.76,11454540500,1.02E+11,35.14,0.0157
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/11,2273.76,2269.57,2261.13,2281.11,2270.67,9061589700,86154853765,-3.09,-0.00136
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/14,2270.67,2267.94,2255.46,2275.83,2268.61,6226499800,60254151500,-2.06,-0.00091
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/15,2268.61,2261.41,2225.69,2261.47,2229.46,6821813000,62599115638,-39.15,-0.01726
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/16,2229.46,2223.47,2221.15,2245.32,2232.53,5167801000,47770218198,3.07,0.00138
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/17,2232.53,2238.78,2221.95,2241.62,2224.8,4833362800,45096433749,-7.73,-0.00346
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/18,2224.8,2215.88,2203.05,2228.77,2224.48,5075799500,45709617096,-0.32,-0.00014
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/21,2224.48,2209.94,2186.75,2231.71,2187.25,5627828000,51856112765,-37.23,-0.01674
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/22,2187.25,2184.02,2165.08,2196.85,2196.8,5709469400,52351993061,9.55,0.00437
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/23,2196.8,2191.23,2187.39,2205.59,2194.67,4776353100,45191150830,-2.13,-0.00097
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/24,2194.67,2192.77,2186.76,2209.45,2190.47,4505891100,41927012945,-4.2,-0.00191
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/25,2190.47,2195.82,2167.64,2201.71,2167.83,6024538300,52092022381,-22.64,-0.01034
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/28,2167.83,2165.77,2132.7,2171.39,2134.97,6048518700,49998809829,-32.86,-0.01516
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/29,2134.97,2134.41,2131.78,2159.38,2158.47,4820493100,41550353157,23.5,0.01101
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/4/30,2158.47,2158.76,2153.12,2164.18,2158.66,4533462400,39493022295,0.19,9.00E-05
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/5,2158.66,2152.59,2131.23,2161.7,2156.47,4934407300,41470449799,-2.19,-0.00101
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/6,2156.47,2151.39,2150.11,2173.62,2157.33,4808651900,41486451628,0.86,0.0004
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/7,2157.33,2151.47,2136.99,2153.72,2137.32,4460747000,37751019661,-20.01,-0.00928
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/8,2137.32,2132.04,2128.32,2168.21,2135.5,4833245200,40729772017,-1.82,-0.00085
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/9,2135.5,2138.84,2120.6,2141.56,2133.91,4918113500,40242745273,-1.59,-0.00074
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/12,2133.91,2150.31,2139.48,2184.33,2180.05,8347256000,66275508636,46.14,0.02162
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/13,2180.05,2180.06,2167.77,2185.05,2174.85,6491251800,50241276089,-5.2,-0.00239
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/14,2174.85,2175.09,2169,2184.22,2172.37,4851420600,39214123931,-2.48,-0.00114
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/15,2172.37,2169.28,2142.34,2171.45,2144.08,4673403200,38938529216,-28.29,-0.01302
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/16,2144.08,2143.93,2132.19,2150.5,2145.95,4225319700,34987586802,1.87,0.00087
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/19,2145.95,2139.36,2105.71,2139.36,2115.14,4289360700,37135950607,-30.81,-0.01436
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/20,2115.14,2124.71,2110.72,2131.57,2115.77,3729968300,31576339037,0.63,0.0003
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/21,2115.77,2106.76,2096.51,2136.1,2135.91,3894604200,32246807970,20.14,0.00952
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/22,2135.91,2134.09,2128.86,2160.91,2130.87,4625273600,39227549718,-5.04,-0.00236
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/23,2130.87,2130.77,2128.66,2148.58,2148.41,3762310500,32420020159,17.54,0.00823
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/26,2148.41,2161.89,2147.45,2165.42,2155.98,3955065600,37788482728,7.57,0.00352
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/27,2155.98,2154.4,2145.75,2160.03,2147.28,3589717100,32374256462,-8.7,-0.00404
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/28,2147.28,2147.47,2142.01,2171.17,2169.35,5005626000,45627619375,22.07,0.01028
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/29,2169.35,2171.26,2154.93,2178.09,2155.16,4489155600,41076912680,-14.19,-0.00654
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/5/30,2155.16,2156.38,2146.22,2166.91,2156.46,4392386300,39769199791,1.3,0.0006
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/6/3,2156.46,2157.64,2149.29,2169,2149.92,4198295400,37906226058,-6.54,-0.00303
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/6/4,2149.92,2149.41,2117.31,2149.45,2128.27,4181724900,35607022812,-21.65,-0.01007
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/6/5,2128.27,2126.61,2123.52,2150.93,2150.6,3647742400,33050774675,22.33,0.01049
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/6/6,2150.6,2149.21,2123.98,2149.78,2134.72,3573805800,32415599488,-15.88,-0.00738
000300.ZICN,300,中证指数有限公司,沪深300,XSHG,2014/6/9,2134.72,2128.23,2126.67,2153.9,2134.28,3931106000,35326732064,-0.44,-0.00021
