secID,tradeDate,ticker,ChgPct,Close,DownPct,LimitDownPct,LimitUpPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
000300.ZICN,20140224,300,-2.199,2214.5,80.3333,2,0.6667,2271.462,2282.087,2253.781,2303.8955,2349.1265,2.6602,2.1306,0.8006,1.2895,2.9258,8.5779,31.2092,40.5084,79599146389,8921593900,18,2016/11/16 17:45
000300.ZICN,20140225,300,-2.556,2157.9,90.3333,1,0.3333,2246.554,2269.321,2252.3055,2300.0502,2347.9096,-11.8078,-6.5793,-0.6754,1.2667,2.8194,8.4236,30.1094,33.0418,88306571728,9323755100,6.6667,2016/11/16 17:45
000300.ZICN,20140226,300,0.255,2163.4,40.3333,0,1,2217.504,2256.537,2248.286,2296.3167,2346.8803,-19.5427,-12.8896,-3.1183,1.2704,2.8221,8.4481,30.3012,34.3251,68640581126,7799329700,55.3333,2016/11/16 17:45
000300.ZICN,20140227,300,-0.43,2154.1,63,0.3333,0.6667,2190.838,2243.992,2244.397,2291.977,2345.3677,-24.4965,-18.4286,-6.1803,1.2749,2.7788,8.4779,29.8863,33.153,81587999653,9010429600,29.3333,2016/11/16 17:45
000300.ZICN,20140228,300,1.155,2178.97,24.3333,0.3333,1.3333,2173.774,2232.332,2241.062,2287.6343,2344.0184,-23.0304,-20.5743,-9.0591,1.2809,2.8233,8.518,30.3527,39.2086,70216798972,7666805700,68.6667,2016/11/16 17:45
000300.ZICN,20140303,300,0.523,2190.37,27.6667,0,0.6667,2168.948,2220.205,2239.785,2283.4915,2342.8711,-19.2839,-21.1115,-11.4696,1.2859,2.8598,8.5509,30.6449,41.8431,69408739897,8207231400,67.3333,2016/11/16 17:45
000300.ZICN,20140304,300,-0.278,2184.27,61,0,0,2174.222,2210.388,2238.006,2279.583,2341.7541,-16.4942,-21.7785,-13.5314,1.2817,2.8409,8.5235,30.5503,40.8107,64691438035,7306925000,32,2016/11/16 17:45
000300.ZICN,20140305,300,-0.929,2163.97,68,0,0,2174.336,2195.92,2234.8155,2274.9362,2340.5046,-16.2253,-23.6722,-15.5595,1.2697,2.8137,8.4431,30.3655,37.4557,55669679402,6133201500,28.6667,2016/11/16 17:45
000300.ZICN,20140306,300,0.446,2173.63,49,0,1,2178.242,2184.54,2233.3745,2269.9112,2339.282,-13.6895,-24.1155,-17.2707,1.2749,2.8129,8.4778,30.331,40.0156,61495023657,6909376700,45,2016/11/16 17:45
000300.ZICN,20140307,300,-0.243,2168.35,61.6667,0,0.6667,2176.118,2174.946,2231.168,2264.9138,2337.7308,-11.7416,-24.6092,-18.7384,1.2721,2.8066,8.4679,30.2953,39.0623,58693177974,6426517700,34,2016/11/16 17:45
000300.ZICN,20140310,300,-3.255,2097.78,92.3333,0.3333,0,2157.6,2163.274,2222.6805,2259.0055,2335.6232,-18.5706,-30.3451,-21.0598,1.2393,2.7055,8.2496,28.7482,28.9917,63086412572,7141640700,5.6667,2016/11/16 17:45
000300.ZICN,20140311,300,0.519,2108.66,31.3333,0,0,2142.478,2158.35,2213.8355,2253.302,2333.6809,-20.1048,-33.6253,-23.5729,1.2413,2.7233,8.2631,28.8136,31.9427,53075782462,5762124300,61.3333,2016/11/16 17:45
000300.ZICN,20140312,300,0.259,2114.13,38.3333,0.6667,1,2132.51,2153.423,2204.98,2247.6488,2331.6505,-18.8845,-35.3757,-25.9334,1.2398,2.7209,8.2518,28.6903,33.4594,60115239174,7006974700,55.3333,2016/11/16 17:45
000300.ZICN,20140313,300,1.239,2140.33,16.6667,0,0.6667,2125.85,2152.046,2198.019,2243.1083,2329.1483,-13.3127,-34.2539,-27.5975,1.2538,2.7574,8.349,29.0344,40.3996,59163094375,6922602800,79,2016/11/16 17:45
000300.ZICN,20140314,300,-0.818,2122.83,76.6667,0,0,2116.746,2146.432,2189.382,2238.322,2326.2144,-10.853,-34.3807,-28.9541,1.2427,2.736,8.2718,28.7289,37.5461,49805247510,5861773700,19,2016/11/16 17:45
000300.ZICN,20140317,300,0.952,2143.03,11.6667,0,0.3333,2125.796,2141.698,2180.9515,2233.9287,2323.3823,-5.6362,-32.4768,-29.6587,1.2522,2.7543,8.3353,29.0302,42.6471,47571288733,5240944500,84,2016/11/16 17:45
000300.ZICN,20140318,300,-0.229,2138.13,51.6667,0,1,2131.69,2137.084,2173.736,2230.0988,2320.3047,-2.1556,-31.0059,-29.9281,1.2507,2.7588,8.3208,28.8298,41.7448,54188441365,5535413200,39,2016/11/16 17:45
000300.ZICN,20140319,300,-0.807,2120.87,65.6667,0.3333,0.3333,2133.038,2132.774,2164.347,2226.1738,2317.2378,-1.5183,-30.877,-30.1179,1.2446,2.729,8.2638,28.749,38.6063,55283943974,5930390500,29.3333,2016/11/16 17:45
000300.ZICN,20140320,300,-1.599,2086.96,83.6667,0,0,2122.364,2124.107,2154.3235,2221.6695,2313.9758,-4.8182,-33.1293,-30.7202,1.2292,2.6664,8.1513,28.6781,33.2486,58951601970,6763128500,11,2016/11/16 17:45
